Date,Ticker,Close
06-28-2015,BTC,248.35
06-29-2015,BTC,256.3
06-30-2015,BTC,262.41
07-01-2015,BTC,257.51
07-02-2015,BTC,254.65
07-03-2015,BTC,255.16
07-04-2015,BTC,260.42
07-05-2015,BTC,271.04
07-06-2015,BTC,268.6
07-07-2015,BTC,265.38
07-08-2015,BTC,269.61
07-09-2015,BTC,268.89
07-10-2015,BTC,285.02
07-11-2015,BTC,291.89
07-12-2015,BTC,310.19
07-13-2015,BTC,290.67
07-14-2015,BTC,286.67
07-15-2015,BTC,283.95
07-16-2015,BTC,276.68
07-17-2015,BTC,278.37
07-18-2015,BTC,274.48
07-19-2015,BTC,272.81
07-20-2015,BTC,277.25
07-21-2015,BTC,274.94
07-22-2015,BTC,276.18
07-23-2015,BTC,275.61
07-24-2015,BTC,288.44
07-25-2015,BTC,288.39
07-26-2015,BTC,291.7
07-27-2015,BTC,292.61
07-28-2015,BTC,293.99
07-29-2015,BTC,288.72
07-30-2015,BTC,286.84
07-31-2015,BTC,283.68
08-01-2015,BTC,280.7
08-02-2015,BTC,281.73
08-03-2015,BTC,281.83
08-04-2015,BTC,284.24
08-05-2015,BTC,281.4
08-06-2015,BTC,278.01
08-07-2015,BTC,278.51
08-08-2015,BTC,259.8
08-09-2015,BTC,264.34
08-10-2015,BTC,263.58
08-11-2015,BTC,269.87
08-12-2015,BTC,267.71
08-13-2015,BTC,263.66
08-14-2015,BTC,265.13
08-15-2015,BTC,260.48
08-16-2015,BTC,257.82
08-17-2015,BTC,257.06
08-18-2015,BTC,253.08
08-19-2015,BTC,225.96
08-20-2015,BTC,234.64
08-21-2015,BTC,232.33
08-22-2015,BTC,229.15
08-23-2015,BTC,227.25
08-24-2015,BTC,210.09
08-25-2015,BTC,221.33
08-26-2015,BTC,225.27
08-27-2015,BTC,222.97
08-28-2015,BTC,231.66
08-29-2015,BTC,228.47
08-30-2015,BTC,228.07
08-31-2015,BTC,230.08
09-01-2015,BTC,227.16
09-02-2015,BTC,228.64
09-03-2015,BTC,226.57
09-04-2015,BTC,230.05
09-05-2015,BTC,234.75
09-06-2015,BTC,239.13
09-07-2015,BTC,240.5
09-08-2015,BTC,243.56
09-09-2015,BTC,237.95
09-10-2015,BTC,238.78
09-11-2015,BTC,240.0
09-12-2015,BTC,234.91
09-13-2015,BTC,230.5
09-14-2015,BTC,230.21
09-15-2015,BTC,229.91
09-16-2015,BTC,228.46
09-17-2015,BTC,232.75
09-18-2015,BTC,232.35
09-19-2015,BTC,231.27
09-20-2015,BTC,230.66
09-21-2015,BTC,226.45
09-22-2015,BTC,229.88
09-23-2015,BTC,229.87
09-24-2015,BTC,233.93
09-25-2015,BTC,234.98
09-26-2015,BTC,234.53
09-27-2015,BTC,232.83
09-28-2015,BTC,239.28
09-29-2015,BTC,237.23
09-30-2015,BTC,236.05
10-01-2015,BTC,237.74
10-02-2015,BTC,237.26
10-03-2015,BTC,238.97
10-04-2015,BTC,238.66
10-05-2015,BTC,240.32
10-06-2015,BTC,246.44
10-07-2015,BTC,243.22
10-08-2015,BTC,242.9
10-09-2015,BTC,244.21
10-10-2015,BTC,245.32
10-11-2015,BTC,247.54
10-12-2015,BTC,245.57
10-13-2015,BTC,249.41
10-14-2015,BTC,252.7
10-15-2015,BTC,254.63
10-16-2015,BTC,262.37
10-17-2015,BTC,270.36
10-18-2015,BTC,262.23
10-19-2015,BTC,264.21
10-20-2015,BTC,270.27
10-21-2015,BTC,267.02
10-22-2015,BTC,273.57
10-23-2015,BTC,277.39
10-24-2015,BTC,282.96
10-25-2015,BTC,284.75
10-26-2015,BTC,285.52
10-27-2015,BTC,294.81
10-28-2015,BTC,303.64
10-29-2015,BTC,313.91
10-30-2015,BTC,325.8
10-31-2015,BTC,312.28
11-01-2015,BTC,325.0
11-02-2015,BTC,350.77
11-03-2015,BTC,398.24
11-04-2015,BTC,404.36
11-05-2015,BTC,387.47
11-06-2015,BTC,372.83
11-07-2015,BTC,387.06
11-08-2015,BTC,371.5
11-09-2015,BTC,380.64
11-10-2015,BTC,336.87
11-11-2015,BTC,305.98
11-12-2015,BTC,337.96
11-13-2015,BTC,337.37
11-14-2015,BTC,331.5
11-15-2015,BTC,320.48
11-16-2015,BTC,331.35
11-17-2015,BTC,335.11
11-18-2015,BTC,335.45
11-19-2015,BTC,325.57
11-20-2015,BTC,321.42
11-21-2015,BTC,325.16
11-22-2015,BTC,323.4
11-23-2015,BTC,322.83
11-24-2015,BTC,319.98
11-25-2015,BTC,328.17
11-26-2015,BTC,356.24
11-27-2015,BTC,359.01
11-28-2015,BTC,356.21
11-29-2015,BTC,371.49
11-30-2015,BTC,378.26
12-01-2015,BTC,363.45
12-02-2015,BTC,358.82
12-03-2015,BTC,360.95
12-04-2015,BTC,362.77
12-05-2015,BTC,390.64
12-06-2015,BTC,394.01
12-07-2015,BTC,394.36
12-08-2015,BTC,412.93
12-09-2015,BTC,417.37
12-10-2015,BTC,416.91
12-11-2015,BTC,452.41
12-12-2015,BTC,434.9
12-13-2015,BTC,435.82
12-14-2015,BTC,443.28
12-15-2015,BTC,465.0
12-16-2015,BTC,453.91
12-17-2015,BTC,456.47
12-18-2015,BTC,463.82
12-19-2015,BTC,462.05
12-20-2015,BTC,441.13
12-21-2015,BTC,437.81
12-22-2015,BTC,436.24
12-23-2015,BTC,442.82
12-24-2015,BTC,454.91
12-25-2015,BTC,455.74
12-26-2015,BTC,417.09
12-27-2015,BTC,423.92
12-28-2015,BTC,420.71
12-29-2015,BTC,432.15
12-30-2015,BTC,426.81
12-31-2015,BTC,431.14
01-01-2016,BTC,434.43
01-02-2016,BTC,434.33
01-03-2016,BTC,430.2
01-04-2016,BTC,433.53
01-05-2016,BTC,432.12
01-06-2016,BTC,431.34
01-07-2016,BTC,456.43
01-08-2016,BTC,454.7
01-09-2016,BTC,448.71
01-10-2016,BTC,447.21
01-11-2016,BTC,448.35
01-12-2016,BTC,445.79
01-13-2016,BTC,432.12
01-14-2016,BTC,429.24
01-15-2016,BTC,365.91
01-16-2016,BTC,384.81
01-17-2016,BTC,386.36
01-18-2016,BTC,385.13
01-19-2016,BTC,379.02
01-20-2016,BTC,418.85
01-21-2016,BTC,407.82
01-22-2016,BTC,377.21
01-23-2016,BTC,389.64
01-24-2016,BTC,403.06
01-25-2016,BTC,392.33
01-26-2016,BTC,392.46
01-27-2016,BTC,394.49
01-28-2016,BTC,379.55
01-29-2016,BTC,378.91
01-30-2016,BTC,376.92
01-31-2016,BTC,364.35
02-01-2016,BTC,371.04
02-02-2016,BTC,372.87
02-03-2016,BTC,368.12
02-04-2016,BTC,388.38
02-05-2016,BTC,385.73
02-06-2016,BTC,374.9
02-07-2016,BTC,375.52
02-08-2016,BTC,371.14
02-09-2016,BTC,373.91
02-10-2016,BTC,379.83
02-11-2016,BTC,377.06
02-12-2016,BTC,382.72
02-13-2016,BTC,390.42
02-14-2016,BTC,404.14
02-15-2016,BTC,399.38
02-16-2016,BTC,407.01
02-17-2016,BTC,416.85
02-18-2016,BTC,421.42
02-19-2016,BTC,419.38
02-20-2016,BTC,441.12
02-21-2016,BTC,438.65
02-22-2016,BTC,437.8
02-23-2016,BTC,420.3
02-24-2016,BTC,423.19
02-25-2016,BTC,423.14
02-26-2016,BTC,427.03
02-27-2016,BTC,432.14
02-28-2016,BTC,432.8
02-29-2016,BTC,436.92
03-01-2016,BTC,431.37
03-02-2016,BTC,424.48
03-03-2016,BTC,420.17
03-04-2016,BTC,409.41
03-05-2016,BTC,397.24
03-06-2016,BTC,404.91
03-07-2016,BTC,413.74
03-08-2016,BTC,411.88
03-09-2016,BTC,412.32
03-10-2016,BTC,416.29
03-11-2016,BTC,419.3
03-12-2016,BTC,410.8
03-13-2016,BTC,412.49
03-14-2016,BTC,414.58
03-15-2016,BTC,415.64
03-16-2016,BTC,416.54
03-17-2016,BTC,418.4
03-18-2016,BTC,408.28
03-19-2016,BTC,406.74
03-20-2016,BTC,411.88
03-21-2016,BTC,411.09
03-22-2016,BTC,416.36
03-23-2016,BTC,418.08
03-24-2016,BTC,414.88
03-25-2016,BTC,415.74
03-26-2016,BTC,416.71
03-27-2016,BTC,425.35
03-28-2016,BTC,422.76
03-29-2016,BTC,415.55
03-30-2016,BTC,412.6
03-31-2016,BTC,415.37
04-01-2016,BTC,416.75
04-02-2016,BTC,419.67
04-03-2016,BTC,418.19
04-04-2016,BTC,419.44
04-05-2016,BTC,422.65
04-06-2016,BTC,421.66
04-07-2016,BTC,421.08
04-08-2016,BTC,418.47
04-09-2016,BTC,416.14
04-10-2016,BTC,421.13
04-11-2016,BTC,422.58
04-12-2016,BTC,426.18
04-13-2016,BTC,424.27
04-14-2016,BTC,424.93
04-15-2016,BTC,429.97
04-16-2016,BTC,430.94
04-17-2016,BTC,428.03
04-18-2016,BTC,428.51
04-19-2016,BTC,436.37
04-20-2016,BTC,441.92
04-21-2016,BTC,451.08
04-22-2016,BTC,447.49
04-23-2016,BTC,451.82
04-24-2016,BTC,459.92
04-25-2016,BTC,460.47
04-26-2016,BTC,467.86
04-27-2016,BTC,444.79
04-28-2016,BTC,449.38
04-29-2016,BTC,456.57
04-30-2016,BTC,447.9
05-01-2016,BTC,452.59
05-02-2016,BTC,444.49
05-03-2016,BTC,450.3
05-04-2016,BTC,447.12
05-05-2016,BTC,448.92
05-06-2016,BTC,461.62
05-07-2016,BTC,459.25
05-08-2016,BTC,459.28
05-09-2016,BTC,461.75
05-10-2016,BTC,450.33
05-11-2016,BTC,452.18
05-12-2016,BTC,454.73
05-13-2016,BTC,456.01
05-14-2016,BTC,455.5
05-15-2016,BTC,457.84
05-16-2016,BTC,454.89
05-17-2016,BTC,452.42
05-18-2016,BTC,453.37
05-19-2016,BTC,440.54
05-20-2016,BTC,441.89
05-21-2016,BTC,443.15
05-22-2016,BTC,438.68
05-23-2016,BTC,443.18
05-24-2016,BTC,445.77
05-25-2016,BTC,449.05
05-26-2016,BTC,453.73
05-27-2016,BTC,473.86
05-28-2016,BTC,528.54
05-29-2016,BTC,524.62
05-30-2016,BTC,534.22
05-31-2016,BTC,531.41
06-01-2016,BTC,539.17
06-02-2016,BTC,538.83
06-03-2016,BTC,570.44
06-04-2016,BTC,573.53
06-05-2016,BTC,574.48
06-06-2016,BTC,585.56
06-07-2016,BTC,577.91
06-08-2016,BTC,583.14
06-09-2016,BTC,577.61
06-10-2016,BTC,579.23
06-11-2016,BTC,597.75
06-12-2016,BTC,671.71
06-13-2016,BTC,704.29
06-14-2016,BTC,685.93
06-15-2016,BTC,693.23
06-16-2016,BTC,765.46
06-17-2016,BTC,749.42
06-18-2016,BTC,756.8
06-19-2016,BTC,764.05
06-20-2016,BTC,734.16
06-21-2016,BTC,665.0
06-22-2016,BTC,591.9
06-23-2016,BTC,623.21
06-24-2016,BTC,661.42
06-25-2016,BTC,666.06
06-26-2016,BTC,629.31
06-27-2016,BTC,648.3
06-28-2016,BTC,646.84
06-29-2016,BTC,637.44
06-30-2016,BTC,671.62
07-01-2016,BTC,677.71
07-02-2016,BTC,693.05
07-03-2016,BTC,664.75
07-04-2016,BTC,678.7
07-05-2016,BTC,667.53
07-06-2016,BTC,675.92
07-07-2016,BTC,638.62
07-08-2016,BTC,665.74
07-09-2016,BTC,653.87
07-10-2016,BTC,650.32
07-11-2016,BTC,649.07
07-12-2016,BTC,670.95
07-13-2016,BTC,658.15
07-14-2016,BTC,659.58
07-15-2016,BTC,665.69
07-16-2016,BTC,663.5
07-17-2016,BTC,678.39
07-18-2016,BTC,674.79
07-19-2016,BTC,674.56
07-20-2016,BTC,670.89
07-21-2016,BTC,665.36
07-22-2016,BTC,651.09
07-23-2016,BTC,655.42
07-24-2016,BTC,660.85
07-25-2016,BTC,654.52
07-26-2016,BTC,651.31
07-27-2016,BTC,655.62
07-28-2016,BTC,655.89
07-29-2016,BTC,657.34
07-30-2016,BTC,654.55
07-31-2016,BTC,623.75
08-01-2016,BTC,605.75
08-02-2016,BTC,517.13
08-03-2016,BTC,567.38
08-04-2016,BTC,576.6
08-05-2016,BTC,576.03
08-06-2016,BTC,587.63
08-07-2016,BTC,592.67
08-08-2016,BTC,590.71
08-09-2016,BTC,585.3
08-10-2016,BTC,592.27
08-11-2016,BTC,587.61
08-12-2016,BTC,586.53
08-13-2016,BTC,584.47
08-14-2016,BTC,570.74
08-15-2016,BTC,567.73
08-16-2016,BTC,578.22
08-17-2016,BTC,571.46
08-18-2016,BTC,572.27
08-19-2016,BTC,573.49
08-20-2016,BTC,581.95
08-21-2016,BTC,580.59
08-22-2016,BTC,585.22
08-23-2016,BTC,582.0
08-24-2016,BTC,577.89
08-25-2016,BTC,576.12
08-26-2016,BTC,578.1
08-27-2016,BTC,568.58
08-28-2016,BTC,573.53
08-29-2016,BTC,572.51
08-30-2016,BTC,576.08
08-31-2016,BTC,571.76
09-01-2016,BTC,571.59
09-02-2016,BTC,573.96
09-03-2016,BTC,596.2
09-04-2016,BTC,608.69
09-05-2016,BTC,606.64
09-06-2016,BTC,610.68
09-07-2016,BTC,614.33
09-08-2016,BTC,625.47
09-09-2016,BTC,621.91
09-10-2016,BTC,623.06
09-11-2016,BTC,605.32
09-12-2016,BTC,605.83
09-13-2016,BTC,606.65
09-14-2016,BTC,608.43
09-15-2016,BTC,605.58
09-16-2016,BTC,606.55
09-17-2016,BTC,605.34
09-18-2016,BTC,608.8
09-19-2016,BTC,608.62
09-20-2016,BTC,607.77
09-21-2016,BTC,595.84
09-22-2016,BTC,594.96
09-23-2016,BTC,601.89
09-24-2016,BTC,601.27
09-25-2016,BTC,599.31
09-26-2016,BTC,606.1
09-27-2016,BTC,604.21
09-28-2016,BTC,603.55
09-29-2016,BTC,604.64
09-30-2016,BTC,608.26
10-01-2016,BTC,614.06
10-02-2016,BTC,610.36
10-03-2016,BTC,611.96
10-04-2016,BTC,609.24
10-05-2016,BTC,611.64
10-06-2016,BTC,610.98
10-07-2016,BTC,616.22
10-08-2016,BTC,616.53
10-09-2016,BTC,614.62
10-10-2016,BTC,614.31
10-11-2016,BTC,640.7
10-12-2016,BTC,635.62
10-13-2016,BTC,634.62
10-14-2016,BTC,638.18
10-15-2016,BTC,637.21
10-16-2016,BTC,640.19
10-17-2016,BTC,637.48
10-18-2016,BTC,635.46
10-19-2016,BTC,628.44
10-20-2016,BTC,628.54
10-21-2016,BTC,629.72
10-22-2016,BTC,652.09
10-23-2016,BTC,649.63
10-24-2016,BTC,648.77
10-25-2016,BTC,652.63
10-26-2016,BTC,673.42
10-27-2016,BTC,683.37
10-28-2016,BTC,687.56
10-29-2016,BTC,715.41
10-30-2016,BTC,697.28
10-31-2016,BTC,698.58
11-01-2016,BTC,729.2
11-02-2016,BTC,734.16
11-03-2016,BTC,686.06
11-04-2016,BTC,702.11
11-05-2016,BTC,704.02
11-06-2016,BTC,712.13
11-07-2016,BTC,706.09
11-08-2016,BTC,708.94
11-09-2016,BTC,721.18
11-10-2016,BTC,713.21
11-11-2016,BTC,715.64
11-12-2016,BTC,703.76
11-13-2016,BTC,702.35
11-14-2016,BTC,705.55
11-15-2016,BTC,712.16
11-16-2016,BTC,740.9
11-17-2016,BTC,738.48
11-18-2016,BTC,748.43
11-19-2016,BTC,750.41
11-20-2016,BTC,728.37
11-21-2016,BTC,736.5
11-22-2016,BTC,748.12
11-23-2016,BTC,741.17
11-24-2016,BTC,736.75
11-25-2016,BTC,738.2
11-26-2016,BTC,732.73
11-27-2016,BTC,727.76
11-28-2016,BTC,731.84
11-29-2016,BTC,731.81
11-30-2016,BTC,742.36
12-01-2016,BTC,753.06
12-02-2016,BTC,771.17
12-03-2016,BTC,764.83
12-04-2016,BTC,766.37
12-05-2016,BTC,752.24
12-06-2016,BTC,758.69
12-07-2016,BTC,763.91
12-08-2016,BTC,768.67
12-09-2016,BTC,769.84
12-10-2016,BTC,773.13
12-11-2016,BTC,768.23
12-12-2016,BTC,778.43
12-13-2016,BTC,778.22
12-14-2016,BTC,775.89
12-15-2016,BTC,775.57
12-16-2016,BTC,781.34
12-17-2016,BTC,788.88
12-18-2016,BTC,788.44
12-19-2016,BTC,790.12
12-20-2016,BTC,799.72
12-21-2016,BTC,826.62
12-22-2016,BTC,859.37
12-23-2016,BTC,917.1
12-24-2016,BTC,891.68
12-25-2016,BTC,894.34
12-26-2016,BTC,902.61
12-27-2016,BTC,929.12
12-28-2016,BTC,977.14
12-29-2016,BTC,971.72
12-30-2016,BTC,960.92
12-31-2016,BTC,966.57
01-01-2017,BTC,998.05
01-02-2017,BTC,1019.2
01-03-2017,BTC,1035.53
01-04-2017,BTC,1130.85
01-05-2017,BTC,990.67
01-06-2017,BTC,894.03
01-07-2017,BTC,900.08
01-08-2017,BTC,908.09
01-09-2017,BTC,901.88
01-10-2017,BTC,905.76
01-11-2017,BTC,784.28
01-12-2017,BTC,799.43
01-13-2017,BTC,824.5
01-14-2017,BTC,817.83
01-15-2017,BTC,821.91
01-16-2017,BTC,828.31
01-17-2017,BTC,904.15
01-18-2017,BTC,873.93
01-19-2017,BTC,896.89
01-20-2017,BTC,891.46
01-21-2017,BTC,919.68
01-22-2017,BTC,918.78
01-23-2017,BTC,918.91
01-24-2017,BTC,885.79
01-25-2017,BTC,893.47
01-26-2017,BTC,915.36
01-27-2017,BTC,918.29
01-28-2017,BTC,920.24
01-29-2017,BTC,914.14
01-30-2017,BTC,920.99
01-31-2017,BTC,968.27
02-01-2017,BTC,986.57
02-02-2017,BTC,1008.4
02-03-2017,BTC,1015.44
02-04-2017,BTC,1033.63
02-05-2017,BTC,1016.93
02-06-2017,BTC,1024.51
02-07-2017,BTC,1051.5
02-08-2017,BTC,1055.3
02-09-2017,BTC,981.7
02-10-2017,BTC,992.11
02-11-2017,BTC,1010.95
02-12-2017,BTC,1000.52
02-13-2017,BTC,996.1
02-14-2017,BTC,1010.1
02-15-2017,BTC,1008.88
02-16-2017,BTC,1034.9
02-17-2017,BTC,1056.56
02-18-2017,BTC,1058.58
02-19-2017,BTC,1053.5
02-20-2017,BTC,1082.02
02-21-2017,BTC,1125.41
02-22-2017,BTC,1123.3
02-23-2017,BTC,1185.65
02-24-2017,BTC,1180.87
02-25-2017,BTC,1149.4
02-26-2017,BTC,1180.67
02-27-2017,BTC,1193.13
02-28-2017,BTC,1190.33
03-01-2017,BTC,1227.48
03-02-2017,BTC,1262.08
03-03-2017,BTC,1289.54
03-04-2017,BTC,1268.81
03-05-2017,BTC,1276.23
03-06-2017,BTC,1280.99
03-07-2017,BTC,1233.06
03-08-2017,BTC,1149.63
03-09-2017,BTC,1191.24
03-10-2017,BTC,1100.01
03-11-2017,BTC,1181.2
03-12-2017,BTC,1230.56
03-13-2017,BTC,1243.26
03-14-2017,BTC,1246.56
03-15-2017,BTC,1258.46
03-16-2017,BTC,1217.31
03-17-2017,BTC,1074.09
03-18-2017,BTC,961.96
03-19-2017,BTC,1023.49
03-20-2017,BTC,1036.33
03-21-2017,BTC,1112.7
03-22-2017,BTC,1039.84
03-23-2017,BTC,1029.14
03-24-2017,BTC,940.02
03-25-2017,BTC,965.27
03-26-2017,BTC,954.48
03-27-2017,BTC,1042.61
03-28-2017,BTC,1044.72
03-29-2017,BTC,1038.62
03-30-2017,BTC,1031.49
03-31-2017,BTC,1078.27
04-01-2017,BTC,1085.25
04-02-2017,BTC,1098.07
04-03-2017,BTC,1139.31
04-04-2017,BTC,1140.5
04-05-2017,BTC,1132.34
04-06-2017,BTC,1194.21
04-07-2017,BTC,1189.78
04-08-2017,BTC,1182.27
04-09-2017,BTC,1187.7
04-10-2017,BTC,1210.52
04-11-2017,BTC,1226.62
04-12-2017,BTC,1218.3
04-13-2017,BTC,1174.21
04-14-2017,BTC,1183.69
04-15-2017,BTC,1180.32
04-16-2017,BTC,1186.31
04-17-2017,BTC,1205.14
04-18-2017,BTC,1217.58
04-19-2017,BTC,1225.72
04-20-2017,BTC,1253.9
04-21-2017,BTC,1254.99
04-22-2017,BTC,1249.67
04-23-2017,BTC,1247.84
04-24-2017,BTC,1249.96
04-25-2017,BTC,1263.04
04-26-2017,BTC,1287.32
04-27-2017,BTC,1331.31
04-28-2017,BTC,1321.2
04-29-2017,BTC,1327.69
04-30-2017,BTC,1349.89
05-01-2017,BTC,1408.44
05-02-2017,BTC,1442.24
05-03-2017,BTC,1485.82
05-04-2017,BTC,1499.36
05-05-2017,BTC,1506.04
05-06-2017,BTC,1547.82
05-07-2017,BTC,1557.88
05-08-2017,BTC,1633.38
05-09-2017,BTC,1700.18
05-10-2017,BTC,1747.32
05-11-2017,BTC,1808.78
05-12-2017,BTC,1700.77
05-13-2017,BTC,1751.73
05-14-2017,BTC,1767.71
05-15-2017,BTC,1696.13
05-16-2017,BTC,1716.32
05-17-2017,BTC,1804.45
05-18-2017,BTC,1889.41
05-19-2017,BTC,1972.9
05-20-2017,BTC,2043.42
05-21-2017,BTC,2053.88
05-22-2017,BTC,2109.4
05-23-2017,BTC,2292.7
05-24-2017,BTC,2448.13
05-25-2017,BTC,2366.97
05-26-2017,BTC,2262.36
05-27-2017,BTC,2082.84
05-28-2017,BTC,2219.49
05-29-2017,BTC,2286.27
05-30-2017,BTC,2167.64
05-31-2017,BTC,2329.08
06-01-2017,BTC,2436.04
06-02-2017,BTC,2514.23
06-03-2017,BTC,2562.54
06-04-2017,BTC,2556.41
06-05-2017,BTC,2721.55
06-06-2017,BTC,2903.44
06-07-2017,BTC,2716.06
06-08-2017,BTC,2824.2
06-09-2017,BTC,2817.06
06-10-2017,BTC,2937.45
06-11-2017,BTC,3013.71
06-12-2017,BTC,2701.26
06-13-2017,BTC,2736.19
06-14-2017,BTC,2503.4
06-15-2017,BTC,2444.49
06-16-2017,BTC,2513.81
06-17-2017,BTC,2683.57
06-18-2017,BTC,2577.22
06-19-2017,BTC,2620.14
06-20-2017,BTC,2777.79
06-21-2017,BTC,2717.0
06-22-2017,BTC,2724.91
06-23-2017,BTC,2737.75
06-24-2017,BTC,2618.42
06-25-2017,BTC,2606.86
06-26-2017,BTC,2488.19
06-27-2017,BTC,2531.35
06-28-2017,BTC,2575.44
06-29-2017,BTC,2561.68
06-30-2017,BTC,2490.75
07-01-2017,BTC,2439.82
07-02-2017,BTC,2518.55
07-03-2017,BTC,2576.71
07-04-2017,BTC,2611.0
07-05-2017,BTC,2607.22
07-06-2017,BTC,2612.67
07-07-2017,BTC,2509.22
07-08-2017,BTC,2563.2
07-09-2017,BTC,2519.22
07-10-2017,BTC,2363.52
07-11-2017,BTC,2353.91
07-12-2017,BTC,2387.33
07-13-2017,BTC,2364.32
07-14-2017,BTC,2228.73
07-15-2017,BTC,2033.29
07-16-2017,BTC,1927.1
07-17-2017,BTC,2181.29
07-18-2017,BTC,2303.89
07-19-2017,BTC,2274.62
07-20-2017,BTC,2766.83
07-21-2017,BTC,2658.07
07-22-2017,BTC,2802.35
07-23-2017,BTC,2731.6
07-24-2017,BTC,2751.35
07-25-2017,BTC,2563.75
07-26-2017,BTC,2507.39
07-27-2017,BTC,2649.44
07-28-2017,BTC,2798.83
07-29-2017,BTC,2720.1
07-30-2017,BTC,2740.32
07-31-2017,BTC,2871.37
08-01-2017,BTC,2737.76
08-02-2017,BTC,2697.85
08-03-2017,BTC,2777.37
08-04-2017,BTC,2845.9
08-05-2017,BTC,3237.07
08-06-2017,BTC,3189.73
08-07-2017,BTC,3356.71
08-08-2017,BTC,3410.45
08-09-2017,BTC,3330.9
08-10-2017,BTC,3367.91
08-11-2017,BTC,3562.59
08-12-2017,BTC,3800.14
08-13-2017,BTC,4023.25
08-14-2017,BTC,4175.7
