date,compound,positive,negative,neutral
2021-09-13,0.2732,0.152,0.09,0.758
2021-08-23,0.4215,0.098,0.0,0.902
2021-08-23,0.6908,0.161,0.0,0.839
2021-09-13,0.3365,0.064,0.0,0.936
2021-09-13,0.1546,0.177,0.123,0.7
2021-09-13,-0.4767,0.0,0.129,0.871
2021-09-13,-0.7351,0.033,0.181,0.786
2021-08-23,0.4215,0.095,0.0,0.905
2021-08-24,0.2263,0.094,0.0,0.906
2021-09-07,0.5106,0.137,0.0,0.863
2021-09-13,0.2732,0.065,0.0,0.935
2021-09-13,-0.7184,0.0,0.158,0.842
2021-09-03,0.0,0.0,0.0,1.0
2021-08-22,0.2263,0.061,0.0,0.939
2021-09-13,0.0,0.0,0.0,1.0
2021-09-14,0.0,0.0,0.0,1.0
2021-09-13,-0.5423,0.0,0.117,0.883
2021-09-07,-0.2263,0.0,0.054,0.946
2021-09-08,0.5346,0.158,0.0,0.842
2021-08-23,0.0,0.0,0.0,1.0
2021-09-13,0.0,0.0,0.0,1.0
2021-08-24,-0.8934,0.0,0.312,0.688
2021-09-13,-0.6369,0.0,0.14,0.86
2021-09-10,0.7003,0.182,0.0,0.818
2021-08-23,-0.4019,0.0,0.076,0.924
2021-09-14,0.0,0.0,0.0,1.0
2021-09-13,0.4215,0.159,0.084,0.757
2021-09-13,0.0,0.0,0.0,1.0
2021-09-14,0.0,0.0,0.0,1.0
2021-09-01,0.5346,0.158,0.0,0.842
2021-08-23,0.4215,0.078,0.0,0.922
2021-09-03,0.0,0.0,0.0,1.0
2021-09-07,0.0,0.0,0.0,1.0
2021-09-13,0.5574,0.183,0.0,0.817
2021-09-14,0.0,0.0,0.0,1.0
2021-09-13,0.802,0.233,0.0,0.767
2021-09-13,0.3818,0.075,0.0,0.925
2021-08-23,-0.0418,0.079,0.086,0.835
2021-09-13,-0.128,0.075,0.089,0.836
2021-09-13,-0.2057,0.0,0.057,0.943
2021-09-14,0.0,0.083,0.114,0.802
2021-08-27,0.5346,0.158,0.0,0.842
2021-08-23,0.7579,0.19,0.0,0.81
2021-09-13,-0.4045,0.088,0.168,0.744
2021-09-13,-0.128,0.064,0.078,0.858
2021-09-13,-0.4404,0.067,0.148,0.784
2021-09-05,0.0,0.0,0.0,1.0
2021-09-07,0.5719,0.128,0.0,0.872
2021-08-24,0.8555,0.275,0.0,0.725
2021-09-14,0.0,0.0,0.0,1.0
2021-09-13,-0.6597,0.039,0.173,0.788
2021-09-14,0.6771,0.176,0.0,0.824
2021-09-13,-0.5106,0.0,0.125,0.875
2021-08-23,-0.4767,0.0,0.075,0.925
2021-09-13,0.3818,0.075,0.0,0.925
2021-09-13,-0.8689,0.0,0.353,0.647
2021-09-14,-0.296,0.0,0.058,0.942
2021-09-14,0.5106,0.169,0.0,0.831
2021-09-10,0.3612,0.075,0.0,0.925
2021-09-13,0.128,0.067,0.054,0.879
2021-09-13,-0.6486,0.0,0.155,0.845
2021-08-23,0.2263,0.053,0.0,0.947
2021-09-14,0.5267,0.093,0.0,0.907
2021-09-02,0.0,0.0,0.0,1.0
2021-09-13,0.1779,0.083,0.063,0.855
2021-08-16,0.4215,0.078,0.0,0.922
2021-08-17,0.5267,0.091,0.0,0.909
2021-08-16,0.0,0.0,0.0,1.0
2021-08-28,0.3903,0.087,0.037,0.877
2021-08-16,0.4404,0.123,0.053,0.823
2021-08-30,0.0,0.0,0.0,1.0
2021-08-18,0.0,0.0,0.0,1.0
2021-09-02,0.0,0.0,0.0,1.0
2021-09-09,0.0,0.0,0.0,1.0
2021-08-23,0.4215,0.069,0.0,0.931
2021-09-13,0.5267,0.089,0.0,0.911
2021-08-25,0.5267,0.096,0.0,0.904
2021-09-07,0.5267,0.093,0.0,0.907
2021-09-08,0.5267,0.091,0.0,0.909
2021-09-01,0.3612,0.07,0.0,0.93
2021-08-23,0.0,0.0,0.0,1.0
2021-08-26,-0.3182,0.0,0.069,0.931
2021-08-27,0.5267,0.093,0.0,0.907
2021-09-06,-0.3182,0.0,0.062,0.938
2021-09-01,0.5267,0.089,0.0,0.911
2021-08-18,0.0516,0.079,0.074,0.847
2021-08-24,0.3182,0.088,0.055,0.857
2021-09-10,0.5267,0.093,0.0,0.907
2021-09-13,-0.128,0.073,0.087,0.84
2021-08-23,0.3182,0.063,0.0,0.937
2021-08-14,-0.2732,0.0,0.06,0.94
2021-09-08,0.0,0.0,0.0,1.0
2021-09-13,-0.7184,0.0,0.162,0.838
2021-09-10,0.872,0.268,0.0,0.732
2021-09-13,0.6597,0.181,0.0,0.819
2021-09-14,0.3716,0.165,0.109,0.726
2021-08-23,0.6705,0.151,0.0,0.849
2021-08-22,0.5709,0.181,0.058,0.761
2021-08-21,0.3182,0.093,0.058,0.849
2021-09-04,-0.2732,0.0,0.058,0.942